Key,Version,Timeline (Days after Entering Journey),Email Name,Preheader,Email Body Text,Links Clicked (Date range 9/3/2024 - 12/31/2024),Total Clicks,Unique Clicks,Net CTR,Version.1,Links Clicked (Date range 2/27/2024-9/3/2024),Total Clicks.1,Unique Clicks.1,Net CTR.1,Version.2,Links Clicked (Date range 10/6/2023 - 2/27/2024),Total Clicks.2,Unique Clicks.2,Net CTR.2
122,3,3,Admission notes_SCI - 20220322_135321,,"Dear FIRST NAME, Congratulations on your admission to the ACADEMIC PROGRAM, in the SCHOOL beginning in TERM. We promised we would have many communications with you when we first notified you of your offer, so here is our first follow-up! The following are important details you need to attend to before you begin your studies. Upon receiving official academic documents from your prior education experiences, you must transfer these to the SCI Academic Records Office. You must include verification of graduation from any prior completed degrees (final transcripts for U.S. degrees, degree certificates or diplomas for international degrees). Official transcripts and documents that can be sent digitally from the originating institution are preferred. These should be directed to SCIrecords@pitt.edu. Alternatively, you can drop these off on the 5th floor of the IS Building between the hours of 8:30 AM - 5:00 PM, Monday through Friday. We are tryly excited to have you join us as we continue to make advancements to our field and in society! Sincerely, Wes's signature",https://pi.tt/studentcenter,45,23,0.181,2,https://pi.tt/studentcenter,88,55,0.1206,1,https://pi.tt/studentcenter,98,41,0.1269
122,3,3,Admission notes_SCI - 20220322_135321,,"Dear FIRST NAME, Congratulations on your admission to the ACADEMIC PROGRAM, in the SCHOOL beginning in TERM. We promised we would have many communications with you when we first notified you of your offer, so here is our first follow-up! The following are important details you need to attend to before you begin your studies. Upon receiving official academic documents from your prior education experiences, you must transfer these to the SCI Academic Records Office. You must include verification of graduation from any prior completed degrees (final transcripts for U.S. degrees, degree certificates or diplomas for international degrees). Official transcripts and documents that can be sent digitally from the originating institution are preferred. These should be directed to SCIrecords@pitt.edu. Alternatively, you can drop these off on the 5th floor of the IS Building between the hours of 8:30 AM - 5:00 PM, Monday through Friday. We are tryly excited to have you join us as we continue to make advancements to our field and in society! Sincerely, Wes's signature",https://pi.tt/studentcenter,45,23,0.181,2,https://www.sci.pitt.edu/student-resources/newly-admitted-students,4,2,0.0044,1,https://www.sci.pitt.edu/student-resources/newly-admitted-students,5,3,0.0093
121,3,5,Email1_Congratulations and Welcome to Pitt _SCI - 20220322_135233," A new message from Wes Lipschultz, School of Computing and Information","FIRST NAME – Welcome to SCI!  

This is Wes Lipschultz, Senior Director of Student and Academic Affairs in the School of Computing and Information. I am delighted to officially welcome you to the University of Pittsburgh! Thank you for choosing the DEPARTMENT for your next academic venture. 

We could not be more thrilled that you’re joining us. 

As you plan for what’s next, we’ll keep in touch; sending highlights of the SCI experience so you have a place to start. You’ll discover ways to work with SCI Faculty and staff, and how to use the resources and opportunities we’ve curated. We will be here to help you take advantage of everything our school has to offer, so you can know the decision to attend the University of Pittsburgh was the right one. 

If you have questions, this handy New Graduate Student FAQ may help, or you can contact us at sciadmit@pitt.edu.  

Wes’ Signature",Graduate Studies website,14,10,0.104,2,https://pi.tt/studentcenter,56,35,0.0776,1,https://pi.tt/studentcenter,54,30,0.0938
121,3,5,Email1_Congratulations and Welcome to Pitt _SCI - 20220322_135233," A new message from Wes Lipschultz, School of Computing and Information","FIRST NAME – Welcome to SCI!  

This is Wes Lipschultz, Senior Director of Student and Academic Affairs in the School of Computing and Information. I am delighted to officially welcome you to the University of Pittsburgh! Thank you for choosing the DEPARTMENT for your next academic venture. 

We could not be more thrilled that you’re joining us. 

As you plan for what’s next, we’ll keep in touch; sending highlights of the SCI experience so you have a place to start. You’ll discover ways to work with SCI Faculty and staff, and how to use the resources and opportunities we’ve curated. We will be here to help you take advantage of everything our school has to offer, so you can know the decision to attend the University of Pittsburgh was the right one. 

If you have questions, this handy New Graduate Student FAQ may help, or you can contact us at sciadmit@pitt.edu.  

Wes’ Signature",https://pi.tt/studentcenter,15,7,0.073,2,Graduate Studies website,36,30,0.0665,1,Graduate Studies website,31,23,0.0719
121,3,5,Email1_Congratulations and Welcome to Pitt _SCI - 20220322_135233," A new message from Wes Lipschultz, School of Computing and Information","FIRST NAME – Welcome to SCI!  

This is Wes Lipschultz, Senior Director of Student and Academic Affairs in the School of Computing and Information. I am delighted to officially welcome you to the University of Pittsburgh! Thank you for choosing the DEPARTMENT for your next academic venture. 

We could not be more thrilled that you’re joining us. 

As you plan for what’s next, we’ll keep in touch; sending highlights of the SCI experience so you have a place to start. You’ll discover ways to work with SCI Faculty and staff, and how to use the resources and opportunities we’ve curated. We will be here to help you take advantage of everything our school has to offer, so you can know the decision to attend the University of Pittsburgh was the right one. 

If you have questions, this handy New Graduate Student FAQ may help, or you can contact us at sciadmit@pitt.edu.  

Wes’ Signature",,,,,2,twitter follow,1,1,0.0022,1,,,,
120,3,5,Email2_So Many Events You Won’t Want to Miss,There’s something for everyone,"Take some time to explore the news and upcoming events atthe School of Computing and Information! You may be surprised at the options you have to connect with professionals and engage with a like-minded community here. The University of Pittsburgh events calendar offers even more to explore.  

Your graduate program will go fast, so start early! From orientation onward, watch for chances to hear from guest speakers sponsored by the DEPARTMENT, network, and build relationships to last a lifetime.  

Events are a great way to shake up your graduate experience. We can’t wait to see which events you’ll attend! 

Student Services Signature ",featured events,11,9,0.105,2,featured events,29,23,0.0525,1,featured events,21,18,0.057
120,3,5,Email2_So Many Events You Won’t Want to Miss,There’s something for everyone,"Take some time to explore the news and upcoming events atthe School of Computing and Information! You may be surprised at the options you have to connect with professionals and engage with a like-minded community here. The University of Pittsburgh events calendar offers even more to explore.  

Your graduate program will go fast, so start early! From orientation onward, watch for chances to hear from guest speakers sponsored by the DEPARTMENT, network, and build relationships to last a lifetime.  

Events are a great way to shake up your graduate experience. We can’t wait to see which events you’ll attend! 

Student Services Signature ",SCI events,12,9,0.105,2,SCI events,24,20,0.0457,,SCI events,14,14,0.0443
120,3,5,Email2_So Many Events You Won’t Want to Miss,There’s something for everyone,"Take some time to explore the news and upcoming events atthe School of Computing and Information! You may be surprised at the options you have to connect with professionals and engage with a like-minded community here. The University of Pittsburgh events calendar offers even more to explore.  

Your graduate program will go fast, so start early! From orientation onward, watch for chances to hear from guest speakers sponsored by the DEPARTMENT, network, and build relationships to last a lifetime.  

Events are a great way to shake up your graduate experience. We can’t wait to see which events you’ll attend! 

Student Services Signature ",University events calendar,6,5,0.058,2,University events calendar,21,17,0.0388,,University events calendar,13,12,0.038
120,3,5,Email2_So Many Events You Won’t Want to Miss,There’s something for everyone,"Take some time to explore the news and upcoming events atthe School of Computing and Information! You may be surprised at the options you have to connect with professionals and engage with a like-minded community here. The University of Pittsburgh events calendar offers even more to explore.  

Your graduate program will go fast, so start early! From orientation onward, watch for chances to hear from guest speakers sponsored by the DEPARTMENT, network, and build relationships to last a lifetime.  

Events are a great way to shake up your graduate experience. We can’t wait to see which events you’ll attend! 

Student Services Signature ",https://pi.tt/studentcenter,4,3,0.035,2,https://pi.tt/studentcenter,22,14,0.032,,https://pi.tt/studentcenter,15,10,0.0316
120,3,5,Email2_So Many Events You Won’t Want to Miss,There’s something for everyone,"Take some time to explore the news and upcoming events atthe School of Computing and Information! You may be surprised at the options you have to connect with professionals and engage with a like-minded community here. The University of Pittsburgh events calendar offers even more to explore.  

Your graduate program will go fast, so start early! From orientation onward, watch for chances to hear from guest speakers sponsored by the DEPARTMENT, network, and build relationships to last a lifetime.  

Events are a great way to shake up your graduate experience. We can’t wait to see which events you’ll attend! 

Student Services Signature ",https://pi.tt/studentcenter,3,3,0.038,2,https://www.sci.pitt.edu/student-resources/newly-admitted-students,1,1,0.0023,,,,,
