Key,Version,Timeline (Days after Entering Journey),Email Name,Preheader,Email Body Text,Links Clicked (Date range 7/21/2024-12/31/2024),Total Clicks,Unique Clicks,Net CTR,Version.1,Links Clicked (Date range 1/1/23-7/21/24),Total Clicks.1,Unique Clicks.1,Net CTR.1,Version.2,Links Clicked (Date range 1/1/23-7/21/24).1,Total Clicks.2,Unique Clicks.2,Net CTR.2,Version.3,Links Clicked (Date range 1/1/23-10/12/23),Total Clicks.3,Unique Clicks.3,Net CTR.3
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",https://www.sci.pitt.edu/academics/degrees-and-programs,15,10,0.161,6,https://www.sci.pitt.edu/academics/degrees-and-programs,78,58,0.0354,5,https://www.sci.pitt.edu/academics/degrees-and-programs,33,25,0.0525,4,https://www.sci.pitt.edu/academics/degrees-and-programs,133,108,0.0529
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",https://www.sci.pitt.edu/academics/masters-degrees/library-and-information-science/mlis-online,4,4,0.065,,APPLY NOW,45,34,0.0207,,APPLY NOW,20,16,0.0336,,APPLY NOW,77,58,0.0284
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",APPLY NOW,3,2,0.032,,ATTEND EVENT,23,20,0.0122,,ATTEND EVENT,16,11,0.0231,,Connect with Shabana,54,48,0.0235
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",Connect with Us,1,1,0.016,,Connect with Us,23,19,0.0116,,Connect with Us,15,8,0.0168,,https://www.sci.pitt.edu/academics/masters-degrees/library-and-information-science/mlis-online,23,18,0.0088
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",,,,,,https://www.sci.pitt.edu/academics/masters-degrees/library-and-information-science/mlis-online,14,11,0.0067,,https://www.sci.pitt.edu/academics/masters-degrees/library-and-information-science/mlis-online,7,6,0.0126,,ATTEND EVENT,26,13,0.0064
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",,,,,,https://www.sci.pitt.edu/SCI-resources,11,10,0.0061,,https://www.sci.pitt.edu/SCI-resources,6,5,0.0105,,https://www.utimes.pitt.edu/news/pitt-ranked-no-1-public?msclkid=4c249d5ecfaf11eca15ff3f8bb24ef2f,16,12,0.0059
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",,,,,,Big Data Analytics,6,4,0.0024,,Advanced Data Driven Methods,1,1,0.0021,,Advanced Data Driven Methods,17,12,0.0059
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",,,,,,LEARN MORE,5,4,0.0024,,Big Data Analytics,4,1,0.0021,,Here’s to SCI - Together Ahead,15,12,0.0059
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",,,,,,Advanced Data Driven Methods,3,2,0.0012,,"Cybersecurity, Policy, and Law",1,1,0.0021,,Big Data Analytics,17,11,0.0054
9,9,1,RFI Dynamic Email_blocks,Step 1 – done!,"Welcome FIRST NAME,  

Thank you for your interest in the ACADEMIC PROGRAM program at the School of Computing and Information (SCI!) 

I’m Jane, Graduate Admissions Manager for the School of Computing and Information. I’m here to be your resource for questions or concerns as you explore and pursue your goals here! 
Feel free to reach me at jeb286@pitt.edu or by phone at 412-383-2031. 

Jane’s Signature 

About the School of Computing and Information 

At SCI, our purpose is to support discovery, innovation, and entrepreneurship, driven by data and technology. We unleash powerful computational discoveries in fields of Medicine, Education, Urbanism, Climate, and Humanities.   

Today, the complex challenges we face demand the next level of integrative thinking, bringing computer scientists, information scientists, social scientists and domain experts to the table.  

The University of Pittsburgh’s School of Computing and Information prepares professionals and leaders for this collaboration, inquiry, insights, and solutions in all human pursuits.",,,,,,Human-centered Computing,2,2,0.0012,,Geoinformatics,2,1,0.0021,,facebook follow,14,11,0.0054
